,orderID,namaPesanan,recommendationShown,recommendationAccepted
162,2dXIOcyKYm1ka7hOP964,"['risol mayo', 'risol mayo', 'gorengan', 'teh']",False,True
163,2ddZAeF4VZfw7UyVGmLo,"['risol mayo', 'teh']",True,False
164,2eFu0XspEBCRlHuavykd,['float'],True,False
165,2gbe3IqxDyQow8sefx0w,['mie'],True,False
166,2ipyWHOGSQw6t2ZUwv89,['mie'],False,False
167,2jBT3ofI6oa2OPEMQp75,['kopi'],False,True
168,2jrbaad0HNOKzwxIvDFs,"['tahu krispy', 'air putih']",False,False
169,2jxAqeOYR8QUQE0DdhiD,"['tahu krispy', 'air putih']",False,False
170,2mHWEEtRrAbXPt0tlxlT,"['kopi', 'risol mayo']",True,False
171,2nJrrBXdDdbS1WNq0PMf,"['mie', 'teh']",True,False
172,2nycu7pPFIBg2T3kOuQM,"['cireng isi', 'gorengan']",True,False
173,2pDs7oGaikO87708OTFc,"['sayur harian', 'kopi', 'mie', 'air putih']",False,False
174,2pXaBE2X5qicOYJvynBc,['pisang coklat keju'],False,False
175,2phHFjSI6s53z68QvNP6,"['mie', 'penyetan', 'es jeruk', 'teh', 'cireng isi', 'gorengan']",True,True
176,2qpmqQtdjaHDAiPmn6hK,"['risol mayo', 'gorengan', 'pisang coklat keju']",False,False
177,2sGn4QJsNF9gYxh46xwh,"['penyetan', 'kopi']",True,False
178,2tcn8wAUI59jjYLxDHvq,['air putih'],True,True
179,2u7SINhkLJowzSgVrh6b,['gorengan'],True,False
180,2ufgNtUOP4cAnzo58S9S,['kopi'],False,False
181,2ufmreKLIfUfVz2vKf0q,"['teh', 'mie']",True,False
182,2uzdCoQmASYtYUEVhj7l,['teh'],False,False
183,2wnSs5eJq1BAqaXgn3MD,"['risol mayo', 'gorengan', 'cireng isi']",True,False
184,2xOxN9m9UjP3Mppp1tVu,"['kopi', 'gorengan']",True,False
185,2xPbuKJq4UcVuG1kPksM,"['pisang coklat keju', 'pisang coklat keju']",True,False
186,2zypvSZQdiGUCgzmIL4N,"['sayur harian', 'gorengan']",True,False
187,30wqOqCxCAyVufjtyK0b,['cireng isi'],True,False
188,30yZ1ebp9OUukqPOutyU,"['air putih', 'float', 'tahu krispy', 'sayur harian', 'es jeruk']",True,False
189,34oYImQJh2H1qKU3rbcc,['mie'],False,True
190,353cbLH8TIdj1TGJwnBa,['cireng isi'],False,False
191,362ZUWahNnurQfqR6Rz0,"['air putih', 'sosis goreng']",True,False
192,36eF16mcEcVK1kNpaRL8,"['cireng isi', 'risol mayo']",True,False
193,37nAdpAe3shdd3Xf52s5,"['french fries', 'teh', 'sayur harian']",False,False
194,38ZTdf4nydiRo6HFENyi,"['risol mayo', 'teh', 'air putih', 'sosis goreng']",True,False
195,38vqd9aAe5pxNhEFldy8,"['french fries', 'es krim']",True,True
196,39ZPmOwLMXQ5RTrswvc7,"['cireng isi', 'risol mayo']",True,True
197,39at2v9bQUuIMwK2FJWg,['kopi'],True,False
198,39cJRrIr1Mjj7z4cr7fm,['kopi'],True,False
199,39tnXoNqauaR8IBvXv3Z,"['mie', 'teh']",True,False
200,3AZWsnA3i6Y899WlPMvF,"['mie', 'mie', 'teh', 'pisang coklat keju', 'sosis goreng', 'cireng isi', 'tahu krispy']",False,False
201,3B7sixyxhGQuVZGoueQz,"['teh', 'gorengan']",False,False
202,3CJHCLSfav8nwH8bFhRk,['air putih'],True,False
203,3CNzGl6ydEdahJfEiOjb,['kopi'],True,False
204,3Ctt2DMRiEWHuTK4VElN,['mie'],False,False
205,3EVz52ebPbSNRWtQXGB8,"['gorengan', 'cireng isi']",True,False
206,3F14DdgyMM1ERXCjXGhk,"['mie', 'gorengan']",True,False
207,3GLs4tu5rZRxmXuMnuEN,"['kopi', 'gorengan', 'tahu krispy']",True,False
208,3H6XSiDM5vhwRlo2fOSW,"['penyetan', 'air putih']",True,False
209,3I0a7PDKbgFAcJW0tUW2,"['french fries', 'teh', 'kopi']",True,False
210,3I8OIPL3dTHHB2E3JBGO,['air putih'],True,False
211,3L7eRXNLSlx93RasAaq0,"['nasi goreng', 'mie', 'telur', 'gorengan', 'cireng isi', 'float']",False,False
212,3LRIGWXOqfdP7bKVRPlZ,"['teh', 'risol mayo']",True,False
213,3Ll40BAoxXwy78oha7j9,['tahu krispy'],False,False
214,3Lxts5lV0KENfBHQ5Kv2,"['nasi goreng', 'float']",True,False
215,3MxUo5MMbLfDvVCNCQJ4,['risol mayo'],True,False
216,3N5BT5KmrQHZM7cyyt7X,"['teh', 'es jeruk']",False,False
217,3N8JlcSwltYuwVWLu1bO,"['es batu', 'pisang coklat keju']",False,False
218,3POwtE10uBolDsC4Y2bR,['teh'],True,False
219,3R4knuJZw46drCGJhaSw,"['penyetan', 'es jeruk', 'gorengan']",False,False
220,3RlUZiQOX7r04kE3AKqy,"['cireng isi', 'pisang coklat keju', 'risol mayo', 'kopi']",True,False
221,3TGs81PTT20E2e2DlqR8,"['sayur harian', 'mie', 'es jeruk']",True,True
222,3Tpsb0F4YPucHI1bTnXE,"['nasi goreng', 'teh', 'gorengan']",True,False
223,3UT080giyVec3wACmzsJ,"['es jeruk', 'kopi']",False,False
224,3ZvJP6EtVnTDZutlRqMS,"['kopi', 'es jeruk', 'penyetan', 'mie']",True,True
225,3aAlJiuMHrRxPJeifzoV,"['penyetan', 'mie', 'teh']",True,False
226,3bI6JkgQDIe6D1eLj0NB,['nasi goreng'],True,False
227,3cHZ8miln2Vhsm12sgw0,"['cireng isi', 'gorengan']",True,False
228,3d1hLG4xrVqx26ssI5uB,['risol mayo'],False,False
229,3dPQmEQicV7wFnYLqYWZ,['penyetan'],True,False
